Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low,Observer_name,Age,Gender
16.0,4.0,4.534737055408373,4.76400369117738,,0.0057412916690838,,0.0054146198899234,Ali_2,29,M
-1.0,4.0,4.838136045800543,5.03650871506458,4.4319386818822855,0.0042058980081614,0.0047144609171672,0.0039914843809799,Ali_2,29,M
0.5,8.0,2.5832909453562496,2.725515906909837,2.313283058539694,0.0111922766341321,0.01275552574376,0.0105032261837957,Ali_2,29,M
1.0,8.0,2.346110112603173,2.588973639533819,2.089054532619059,0.0131245927871937,0.0149636353525515,0.0117399407286294,Ali_2,29,M
16.0,8.0,6.016944015515542,6.277014105531041,5.6697544499114825,0.004102253842401,0.0044027227453598,0.0039008608316807,Ali_2,29,M
-1.0,8.0,5.465305844915693,5.729054979226805,5.013393945661576,0.0035885064354629,0.0040154667978176,0.0033747712935428,Ali_2,29,M
1.0,0.5,1.5315913551207243,1.7784445591769589,1.2529636290946498,0.0212212123135992,0.0265666021417312,0.0179409308027673,Maliha_2,29,F
16.0,0.5,1.3693085808198662,1.479009552965085,1.2510457344983084,0.0235672017699849,0.0261817210062974,0.0215393424981317,Maliha_2,29,F
-1.0,0.5,1.5276229016859777,1.670879391692853,1.2337015324273732,0.0187111337360994,0.0245941735979665,0.0166763210264158,Maliha_2,29,F
0.5,2.0,1.6206524091891306,1.717999874614312,1.4601698180620597,0.0194086094322156,0.0219358660599666,0.0181217102427462,Maliha_2,29,F
1.0,2.0,1.793748219671849,1.939801392364125,1.6390398885026018,0.0177687281460472,0.0196657870548753,0.0162688474674639,Maliha_2,29,F
16.0,2.0,1.6231584155736365,2.312863924664031,,0.0193185608704607,,0.0127406118737456,Maliha_2,29,F
-1.0,2.0,2.434988869495873,2.878053945302673,2.2373764894876644,0.010258454365129,0.0114451572005885,0.0082609633195982,Maliha_2,29,F
0.5,4.0,1.4309344075795665,2.0047915453390552,,0.0224620447166156,,0.0151066529330624,Maliha_2,29,F
1.0,4.0,2.1694508075075745,2.3154241563508267,1.989621006494694,0.0143389236117103,0.0158101952225761,0.013321475657221,Maliha_2,29,F
16.0,4.0,3.792141009266589,4.013377066198734,3.5346218634184607,0.0070987762589084,0.007716007073042,0.0066370091233105,Maliha_2,29,F
-1.0,4.0,2.8838470909955296,3.076669142267181,2.712781599586556,0.0082394510471755,0.008919166067021,0.0075759458145096,Maliha_2,29,F
0.5,8.0,2.076532246781129,2.277853672656509,1.9054803737137656,0.0144922851387512,0.0160399733266129,0.0129905998648516,Maliha_2,29,F
1.0,8.0,3.585900531465417,3.710373377776607,3.4387755217787923,0.0081118392139511,0.0085074326856476,0.0078031531793306,Maliha_2,29,F
16.0,8.0,3.7799187243562784,4.050794530568329,3.46400583477955,0.0071260056846137,0.0079027659171055,0.0065643299879413,Maliha_2,29,F
-1.0,8.0,3.460026729058893,3.6719155129800822,3.251442187079108,0.0065046631191774,0.0070516786697097,0.0060212320302654,Maliha_2,29,F
