size,color,repeat,Y,x,y
0.5,0.2610836388957092,0,22.783,0.007123838074614803,8.146492700740882e-18
0.5,0.2610836388957092,1,22.751,0.007123838074614803,8.146492700740882e-18
0.5,0.2894961286567438,0,28.222,0.282,0.2931
0.5,0.2894961286567438,1,28.188,0.007123838074614803,8.146492700740882e-18
0.5,0.3210006144457002,0,35.65,0.282,0.2931
0.5,0.3210006144457002,1,35.615,0.282,0.2931
0.5,0.3559335834735583,0,44.468,0.007123838074614803,8.146492700740882e-18
0.5,0.3559335834735583,1,44.45,0.2825,0.2927
0.5,0.3946681412529161,0,55.996,0.007123838074614803,8.146492700740882e-18
0.5,0.3946681412529161,1,55.979,0.007123838074614803,8.146492700740882e-18
0.5,0.4376179965934659,0,71.032,0.2825,0.2919
0.5,0.4376179965934659,1,70.999,0.007123838074614803,8.146492700740882e-18
0.5,0.4852418802655602,0,87.917,0.2827,0.2916
0.5,0.4852418802655602,1,87.849,0.2827,0.2916
0.5,0.5380484445259031,0,110.439,0.007123838074614803,8.146492700740882e-18
0.5,0.5380484445259031,1,110.359,0.2829,0.2912
0.5,0.5966016958353019,0,138.364,0.2832,0.2913
0.5,0.5966016958353019,1,138.272,0.007123838074614803,8.146492700740882e-18
0.5,0.6615270187932356,0,175.843,0.2839,0.2912
0.5,0.6615270187932356,1,175.729,0.2839,0.2911
0.5,0.7335178556285477,0,218.339,0.2839,0.2913
0.5,0.7335178556285477,1,218.333,0.2839,0.2913
0.5,0.8133431125873235,0,270.514,0.2839,0.2912
0.5,0.8133431125873235,1,270.551,0.2839,0.2912
0.5,0.901855372322704,0,330.847,0.2839,0.2903
0.5,0.901855372322704,1,330.75,0.007123838074614803,8.146492700740882e-18
0.5,1.0,0,411.321,0.007123838074614803,8.146492700740882e-18
0.5,1.0,1,411.407,0.007123838074614803,8.146492700740882e-18
16,0.049999999999999996,0,0.551,0.2294544240039044,2.62393497819865e-16
16,0.049999999999999996,1,0.552,0.2759,0.3021
16,0.05544126201879391,0,0.603,0.2724,0.297
16,0.05544126201879391,1,0.597,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,0,0.743,0.2729,0.2947
16,0.06147467068473124,1,0.734,0.2294544240039044,2.62393497819865e-16
16,0.06816466649902507,0,0.834,0.2294544240039044,2.62393497819865e-16
16,0.06816466649902507,1,0.831,0.2294544240039044,2.62393497819865e-16
16,0.07558270271592309,0,1.05,0.2764,0.2964
16,0.07558270271592309,1,1.051,0.2756,0.2976
16,0.08380800850724197,0,1.326,0.2768,0.2895
16,0.08380800850724197,1,1.337,0.2294544240039044,2.62393497819865e-16
16,0.09292843517846627,0,1.909,0.2766,0.296
16,0.09292843517846627,1,1.899,0.2294544240039044,2.62393497819865e-16
16,0.10304139447451709,0,2.371,0.2294544240039044,2.62393497819865e-16
16,0.10304139447451709,1,2.355,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,0,3.102,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,1,3.103,0.2781,0.2909
16,0.12668871584432848,0,4.04,0.279,0.2915
16,0.12668871584432848,1,4.039,0.2789,0.292
16,0.14047564579899893,0,5.378,0.2294544240039044,2.62393497819865e-16
16,0.14047564579899893,1,5.381,0.2798,0.2953
16,0.15576294172003172,0,6.704,0.2294544240039044,2.62393497819865e-16
16,0.15576294172003172,1,6.708,0.2294544240039044,2.62393497819865e-16
16,0.17271388129436815,0,8.475,0.2795,0.2928
16,0.17271388129436815,1,8.467,0.2294544240039044,2.62393497819865e-16
16,0.19150951094247873,0,11.159,0.2294544240039044,2.62393497819865e-16
16,0.19150951094247873,1,11.145,0.28,0.2929
16,0.21235057950506092,0,13.748,0.2294544240039044,2.62393497819865e-16
16,0.21235057950506092,1,13.752,0.2803,0.2922
16,0.23545968236365628,0,17.428,0.281,0.2932
16,0.23545968236365628,1,17.434,0.2294544240039044,2.62393497819865e-16
16,0.2610836388957092,0,22.132,0.2294544240039044,2.62393497819865e-16
16,0.2610836388957092,1,22.133,0.2294544240039044,2.62393497819865e-16
16,0.2894961286567438,0,27.518,0.2822,0.2932
16,0.2894961286567438,1,27.52,0.2822,0.2933
