Luminance,Size,VRR_f,Repeat,S_VRR
2,4,10,0,23.5244142757879
2,4,10,1,23.5244142757879
2,4,10,2,23.5244142757879
2,4,10,3,23.5244142757879
2,4,10,4,23.5244142757879
2,4,10,5,23.5244142757879
2,4,10,6,23.5244142757879
2,4,10,7,23.5244142757879
2,4,10,8,23.5244142757879
2,4,10,9,23.5244142757879
2,16,2,0,143.245447039936
2,16,2,1,143.245447039936
2,16,2,2,143.245447039936
2,16,2,3,143.245447039936
2,16,2,4,143.245447039936
2,16,2,5,143.245447039936
2,16,2,6,143.245447039936
2,16,2,7,143.245447039936
2,16,2,8,143.245447039936
2,16,2,9,143.245447039936
2,16,5,0,88.7281546256089
2,16,5,1,88.7281546256089
2,16,5,2,88.7281546256089
2,16,5,3,88.7281546256089
2,16,5,4,88.7281546256089
2,16,5,5,88.7281546256089
2,16,5,6,88.7281546256089
2,16,5,7,88.7281546256089
2,16,5,8,88.7281546256089
2,16,5,9,88.7281546256089
2,16,10,0,43.565037164075
2,16,10,1,43.565037164075
2,16,10,2,43.565037164075
2,16,10,3,43.565037164075
2,16,10,4,43.565037164075
2,16,10,5,43.565037164075
2,16,10,6,43.565037164075
2,16,10,7,43.565037164075
2,16,10,8,43.565037164075
2,16,10,9,43.565037164075
3,4,2,0,96.5831277103505
3,4,2,1,96.5831277103505
3,4,2,2,96.5831277103505
3,4,2,3,96.5831277103505
3,4,2,4,96.5831277103505
3,4,2,5,96.5831277103505
3,4,2,6,96.5831277103505
3,4,2,7,96.5831277103505
3,4,2,8,96.5831277103505
3,4,2,9,96.5831277103505
3,4,5,0,59.1164427632431
3,4,5,1,59.1164427632431
3,4,5,2,59.1164427632431
3,4,5,3,59.1164427632431
3,4,5,4,59.1164427632431
3,4,5,5,59.1164427632431
3,4,5,6,59.1164427632431
3,4,5,7,59.1164427632431
3,4,5,8,59.1164427632431
3,4,5,9,59.1164427632431
3,4,10,0,28.5845978183479
3,4,10,1,28.5845978183479
3,4,10,2,28.5845978183479
3,4,10,3,28.5845978183479
3,4,10,4,28.5845978183479
3,4,10,5,28.5845978183479
3,4,10,6,28.5845978183479
