size,color,repeat,Y,x,y
0.5,0.4852418802655602,1,84.278,0.2831,0.2916
0.5,0.5380484445259031,0,106.209,0.2833,0.2913
0.5,0.5380484445259031,1,106.201,0.2833,0.2912
0.5,0.5966016958353019,0,133.519,0.2834,0.2912
0.5,0.5966016958353019,1,133.534,0.2834,0.2912
0.5,0.6615270187932356,0,170.046,0.007123838074614803,8.146492700740882e-18
0.5,0.6615270187932356,1,170.07,0.007123838074614803,8.146492700740882e-18
0.5,0.7335178556285477,0,212.155,0.2842,0.2912
0.5,0.7335178556285477,1,212.196,0.007123838074614803,8.146492700740882e-18
0.5,0.8133431125873235,0,263.673,0.007123838074614803,8.146492700740882e-18
0.5,0.8133431125873235,1,263.763,0.007123838074614803,8.146492700740882e-18
0.5,0.901855372322704,0,323.566,0.284,0.2902
0.5,0.901855372322704,1,323.735,0.284,0.2902
0.5,1.0,0,403.734,0.007123838074614803,8.146492700740882e-18
0.5,1.0,1,403.932,0.2839,0.2898
16,0.049999999999999996,0,0.484,0.2742,0.2982
16,0.049999999999999996,1,0.483,0.2746,0.3049
16,0.05544126201879391,0,0.52,0.2713,0.294
16,0.05544126201879391,1,0.52,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,0,0.666,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,1,0.662,0.2737,0.2946
16,0.06816466649902507,0,0.741,0.2294544240039044,2.62393497819865e-16
16,0.06816466649902507,1,0.738,0.276,0.296
16,0.07558270271592309,0,0.929,0.2294544240039044,2.62393497819865e-16
16,0.07558270271592309,1,0.942,0.2294544240039044,2.62393497819865e-16
16,0.08380800850724197,0,1.195,0.2294544240039044,2.62393497819865e-16
16,0.08380800850724197,1,1.186,0.2294544240039044,2.62393497819865e-16
16,0.09292843517846627,0,1.73,0.2765,0.2947
16,0.09292843517846627,1,1.724,0.2773,0.2944
16,0.10304139447451709,0,2.184,0.2784,0.2929
16,0.10304139447451709,1,2.165,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,0,2.841,0.2778,0.2899
16,0.11425489899687216,1,2.854,0.2782,0.2902
16,0.12668871584432848,0,3.757,0.2793,0.2921
16,0.12668871584432848,1,3.752,0.2294544240039044,2.62393497819865e-16
16,0.14047564579899893,0,5.02,0.2294544240039044,2.62393497819865e-16
16,0.14047564579899893,1,5.021,0.2294544240039044,2.62393497819865e-16
16,0.15576294172003172,0,6.272,0.2294544240039044,2.62393497819865e-16
16,0.15576294172003172,1,6.277,0.28,0.2933
16,0.17271388129436815,0,7.966,0.28,0.2924
16,0.17271388129436815,1,7.969,0.2801,0.2928
16,0.19150951094247873,0,10.538,0.2294544240039044,2.62393497819865e-16
16,0.19150951094247873,1,10.534,0.2802,0.2927
16,0.21235057950506092,0,13.026,0.2294544240039044,2.62393497819865e-16
16,0.21235057950506092,1,13.03,0.2294544240039044,2.62393497819865e-16
16,0.23545968236365628,0,16.6,0.2294544240039044,2.62393497819865e-16
16,0.23545968236365628,1,16.603,0.2294544240039044,2.62393497819865e-16
16,0.2610836388957092,0,21.133,0.2829,0.2941
16,0.2610836388957092,1,21.149,0.2829,0.2942
16,0.2894961286567438,0,26.361,0.2294544240039044,2.62393497819865e-16
16,0.2894961286567438,1,26.367,0.2826,0.2931
16,0.3210006144457002,0,33.567,0.2825,0.2931
16,0.3210006144457002,1,33.571,0.2294544240039044,2.62393497819865e-16
16,0.3559335834735583,0,42.017,0.283,0.2927
16,0.3559335834735583,1,42.039,0.2294544240039044,2.62393497819865e-16
16,0.3946681412529161,0,53.107,0.283,0.2925
16,0.3946681412529161,1,53.129,0.283,0.2925
16,0.4376179965934659,0,67.616,0.283,0.2921
16,0.4376179965934659,1,67.707,0.283,0.2921
16,0.4852418802655602,0,84.159,0.2294544240039044,2.62393497819865e-16
16,0.4852418802655602,1,84.222,0.2831,0.2917
16,0.5380484445259031,0,106.195,0.2833,0.2912
16,0.5380484445259031,1,106.315,0.2833,0.2913
16,0.5966016958353019,0,133.57,0.2833,0.2912
16,0.5966016958353019,1,133.78,0.2834,0.2912
16,0.6615270187932356,0,170.413,0.2842,0.2912
