idx, R, G, B, type, Y, x, y, L, M, S, Y1, x1, y1
66, 0.17405, 0.17405, 0.17405, ramp_w, 0.108, 0.2874, 0.3167, NaN, NaN, NaN, NaN, NaN, NaN
67, 0.17554, 0.17554, 0.17554, ramp_w, 0.108, 0.2853, 0.3176, NaN, NaN, NaN, NaN, NaN, NaN
68, 0.177043, 0.177043, 0.177043, ramp_w, 0.108, 0.2845, 0.3167, NaN, NaN, NaN, NaN, NaN, NaN
69, 0.178559, 0.178559, 0.178559, ramp_w, 0.122, 0.2865, 0.3177, NaN, NaN, NaN, NaN, NaN, NaN
70, 0.180088, 0.180088, 0.180088, ramp_w, 0.122, 0.2831, 0.3169, NaN, NaN, NaN, NaN, NaN, NaN
71, 0.18163, 0.18163, 0.18163, ramp_w, 0.121, 0.2857, 0.3201, NaN, NaN, NaN, NaN, NaN, NaN
72, 0.183185, 0.183185, 0.183185, ramp_w, 0.122, 0.2868, 0.3211, NaN, NaN, NaN, NaN, NaN, NaN
73, 0.184753, 0.184753, 0.184753, ramp_w, 0.14, 0.2822, 0.3111, NaN, NaN, NaN, NaN, NaN, NaN
74, 0.186335, 0.186335, 0.186335, ramp_w, 0.142, 0.2806, 0.3163, NaN, NaN, NaN, NaN, NaN, NaN
75, 0.187931, 0.187931, 0.187931, ramp_w, 0.141, 0.2822, 0.3133, NaN, NaN, NaN, NaN, NaN, NaN
76, 0.18954, 0.18954, 0.18954, ramp_w, 0.142, 0.2816, 0.3149, NaN, NaN, NaN, NaN, NaN, NaN
77, 0.191163, 0.191163, 0.191163, ramp_w, 0.152, 0.2798, 0.3128, NaN, NaN, NaN, NaN, NaN, NaN
78, 0.192799, 0.192799, 0.192799, ramp_w, 0.152, 0.2804, 0.3134, NaN, NaN, NaN, NaN, NaN, NaN
79, 0.19445, 0.19445, 0.19445, ramp_w, 0.151, 0.2795, 0.3126, NaN, NaN, NaN, NaN, NaN, NaN
80, 0.196115, 0.196115, 0.196115, ramp_w, 0.15, 0.2816, 0.3106, NaN, NaN, NaN, NaN, NaN, NaN
81, 0.197794, 0.197794, 0.197794, ramp_w, 0.152, 0.2816, 0.3102, NaN, NaN, NaN, NaN, NaN, NaN
