idx, R, G, B, type, Y, x, y, L, M, S, Y1, x1, y1
75, 58.1951, 58.1951, 58.1951, ramp_w, 48.818, 0.2818, 0.2922, NaN, NaN, NaN, NaN, NaN, NaN
76, 63.4235, 63.4235, 63.4235, ramp_w, 53.069, 0.2832, 0.2943, NaN, NaN, NaN, NaN, NaN, NaN
77, 69.1215, 69.1215, 69.1215, ramp_w, 57.767, 0.283, 0.2937, NaN, NaN, NaN, NaN, NaN, NaN
78, 75.3315, 75.3315, 75.3315, ramp_w, 64.04, 0.2821, 0.2936, NaN, NaN, NaN, NaN, NaN, NaN
79, 82.0994, 82.0994, 82.0994, ramp_w, 69.998, 0.2821, 0.2932, NaN, NaN, NaN, NaN, NaN, NaN
80, 89.4753, 89.4753, 89.4753, ramp_w, 76.484, 0.2838, 0.294, NaN, NaN, NaN, NaN, NaN, NaN
81, 97.5139, 97.5139, 97.5139, ramp_w, 82.881, 0.2831, 0.2925, NaN, NaN, NaN, NaN, NaN, NaN
82, 106.275, 106.275, 106.275, ramp_w, 91.356, 0.2822, 0.2931, NaN, NaN, NaN, NaN, NaN, NaN
83, 115.823, 115.823, 115.823, ramp_w, 99.487, 0.2842, 0.296, NaN, NaN, NaN, NaN, NaN, NaN
84, 126.228, 126.228, 126.228, ramp_w, 109.307, 0.2844, 0.2964, NaN, NaN, NaN, NaN, NaN, NaN
85, 137.569, 137.569, 137.569, ramp_w, 121.143, 0.2839, 0.2948, NaN, NaN, NaN, NaN, NaN, NaN
86, 149.928, 149.928, 149.928, ramp_w, 129.655, 0.2835, 0.2937, NaN, NaN, NaN, NaN, NaN, NaN
87, 163.398, 163.398, 163.398, ramp_w, 143.271, 0.285, 0.2949, NaN, NaN, NaN, NaN, NaN, NaN
88, 178.078, 178.078, 178.078, ramp_w, 157.849, 0.2857, 0.2965, NaN, NaN, NaN, NaN, NaN, NaN
89, 194.077, 194.077, 194.077, ramp_w, 175.005, 0.284, 0.2952, NaN, NaN, NaN, NaN, NaN, NaN
90, 211.513, 211.513, 211.513, ramp_w, 188.232, 0.2851, 0.2958, NaN, NaN, NaN, NaN, NaN, NaN
91, 230.515, 230.515, 230.515, ramp_w, 207.411, 0.2837, 0.2933, NaN, NaN, NaN, NaN, NaN, NaN
92, 251.225, 251.225, 251.225, ramp_w, 227.155, 0.2825, 0.2927, NaN, NaN, NaN, NaN, NaN, NaN
93, 273.796, 273.796, 273.796, ramp_w, 245.349, 0.2848, 0.2952, NaN, NaN, NaN, NaN, NaN, NaN
94, 298.394, 298.394, 298.394, ramp_w, 265.518, 0.2855, 0.2969, NaN, NaN, NaN, NaN, NaN, NaN
95, 325.202, 325.202, 325.202, ramp_w, 286.323, 0.2829, 0.2915, NaN, NaN, NaN, NaN, NaN, NaN
96, 354.419, 354.419, 354.419, ramp_w, 301.653, 0.2849, 0.2946, NaN, NaN, NaN, NaN, NaN, NaN
97, 386.26, 386.26, 386.26, ramp_w, 320.429, 0.2847, 0.2946, NaN, NaN, NaN, NaN, NaN, NaN
98, 420.962, 420.962, 420.962, ramp_w, 339.835, 0.2828, 0.2909, NaN, NaN, NaN, NaN, NaN, NaN
99, 458.782, 458.782, 458.782, ramp_w, 354.562, 0.2849, 0.2932, NaN, NaN, NaN, NaN, NaN, NaN
100, 500, 500, 500, ramp_w, 373.162, 0.2835, 0.291, NaN, NaN, NaN, NaN, NaN, NaN
