observer,age,session_id,repetition,luminance,frequency,color_direction,alpha,beta,size_ge,trial,contrast,response
rafal,41,274,1,1,1,2,0,0,-0.5,15,0.014984,0
rafal,41,274,1,1,1,3,0,0,-0.5,17,0.057651,1
rafal,41,274,1,1,1,3,0,0,-0.5,18,0.056077,1
rafal,41,274,1,1,4,1,0,0,-0.5,21,0.106007,1
rafal,41,274,1,1,1,2,0,0,-0.5,16,0.015193,0
rafal,41,274,1,1,1,2,0,0,-0.5,17,0.01562,0
rafal,41,274,1,1,4,2,0,0,-0.5,17,0.058996,1
rafal,41,274,1,1,4,2,0,0,-0.5,18,0.056596,1
rafal,41,274,1,1,4,1,0,0,-0.5,22,0.10455,1
rafal,41,274,1,1,1,3,0,0,-0.5,19,0.054545,1
rafal,41,274,1,1,1,3,0,0,-0.5,20,0.052326,0
rafal,41,274,1,1,4,2,0,0,-0.5,19,0.054294,0
rafal,41,274,1,1,4,2,0,0,-0.5,20,0.058185,1
rafal,41,274,1,1,4,3,0,0,-0.5,20,0.206021,1
rafal,41,274,1,1,1,3,0,0,-0.5,21,0.055306,1
rafal,41,274,1,1,1,3,0,0,-0.5,22,0.054545,1
rafal,41,274,1,1,1,3,0,0,-0.5,23,0.054545,1
rafal,41,274,1,1,1,3,0,0,-0.5,24,0.053795,0
rafal,41,274,1,1,4,2,0,0,-0.5,21,0.055818,0
rafal,41,274,1,1,1,2,0,0,-0.5,18,0.016739,1
rafal,41,274,1,1,1,2,0,0,-0.5,19,0.016282,1
rafal,41,274,1,1,4,3,0,0,-0.5,21,0.206021,0
rafal,41,274,1,1,4,3,0,0,-0.5,22,0.206021,1
rafal,41,274,1,1,4,2,0,0,-0.5,22,0.058996,1
rafal,41,274,1,1,4,2,0,0,-0.5,23,0.057385,1
rafal,41,274,1,1,4,3,0,0,-0.5,23,0.206021,1
rafal,41,274,1,1,4,3,0,0,-0.5,24,0.206021,1
rafal,41,274,1,1,4,2,0,0,-0.5,24,0.056596,1
rafal,41,274,1,1,1,3,0,0,-0.5,25,0.054545,1
rafal,41,274,1,1,4,3,0,0,-0.5,25,0.206021,1
rafal,41,274,1,1,4,1,0,0,-0.5,23,0.10455,0
rafal,41,274,1,1,4,2,0,0,-0.5,25,0.056596,1
rafal,41,274,1,1,4,1,0,0,-0.5,24,0.106007,1
rafal,41,274,1,1,4,1,0,0,-0.5,25,0.106007,1
rafal,41,274,1,1,1,2,0,0,-0.5,20,0.015837,0
rafal,41,274,1,1,1,2,0,0,-0.5,21,0.016282,1
rafal,41,274,1,1,1,2,0,0,-0.5,22,0.016058,0
rafal,41,274,1,1,1,2,0,0,-0.5,23,0.016282,0
rafal,41,274,1,1,1,2,0,0,-0.5,24,0.016739,0
rafal,41,274,1,1,1,2,0,0,-0.5,25,0.017939,0
rafal,41,274,1,1,1,2,0,0,-0.5,26,0.02004,1
rafal,41,274,1,10,1,2,0,0,-0.5,1,0.006621,0
rafal,41,274,1,10,1,3,0,0,-0.5,1,0.044318,1
rafal,41,274,1,10,4,3,0,0,-0.5,1,0.054545,1
rafal,41,274,1,10,1,3,0,0,-0.5,2,0.039126,1
rafal,41,274,1,10,1,1,0,0,-0.5,1,0.008301,0
rafal,41,274,1,10,1,3,0,0,-0.5,3,0.035025,0
rafal,41,274,1,10,1,1,0,0,-0.5,2,0.010217,0
rafal,41,274,1,10,4,1,0,0,-0.5,1,0.029664,1
rafal,41,274,1,10,1,3,0,0,-0.5,4,0.040225,1
rafal,41,274,1,10,4,2,0,0,-0.5,1,0.0268,0
rafal,41,274,1,10,1,3,0,0,-0.5,5,0.038058,1
rafal,41,274,1,10,1,2,0,0,-0.5,2,0.008149,1
rafal,41,274,1,10,4,1,0,0,-0.5,2,0.026189,1
rafal,41,274,1,10,1,2,0,0,-0.5,3,0.0075,1
rafal,41,274,1,10,4,3,0,0,-0.5,2,0.048156,1
rafal,41,274,1,10,4,1,0,0,-0.5,3,0.023444,1
rafal,41,274,1,10,1,1,0,0,-0.5,3,0.011897,1
rafal,41,274,1,10,1,1,0,0,-0.5,4,0.011101,1
rafal,41,274,1,10,4,2,0,0,-0.5,2,0.032985,1
rafal,41,274,1,10,4,3,0,0,-0.5,3,0.043108,1
rafal,41,274,1,10,4,3,0,0,-0.5,4,0.039672,1
rafal,41,274,1,10,4,2,0,0,-0.5,3,0.030356,1
rafal,41,274,1,10,4,3,0,0,-0.5,5,0.03651,1
rafal,41,274,1,10,1,1,0,0,-0.5,5,0.01065,1
rafal,41,274,1,10,1,3,0,0,-0.5,6,0.037019,1
rafal,41,274,1,10,1,2,0,0,-0.5,4,0.007096,1
rafal,41,274,1,10,1,3,0,0,-0.5,7,0.036008,1
rafal,41,274,1,10,4,3,0,0,-0.5,6,0.034068,1
rafal,41,274,1,10,4,2,0,0,-0.5,4,0.028721,1
rafal,41,274,1,10,1,3,0,0,-0.5,8,0.035025,1
rafal,41,274,1,10,1,3,0,0,-0.5,9,0.0336,0
rafal,41,274,1,10,4,2,0,0,-0.5,5,0.027174,1
rafal,41,274,1,10,4,1,0,0,-0.5,4,0.021575,1
rafal,41,274,1,10,4,2,0,0,-0.5,6,0.02571,1
rafal,41,274,1,10,1,1,0,0,-0.5,6,0.010359,1
rafal,41,274,1,10,4,1,0,0,-0.5,5,0.019855,1
rafal,41,274,1,10,4,3,0,0,-0.5,7,0.032233,0
rafal,41,274,1,10,1,3,0,0,-0.5,10,0.035513,1
rafal,41,274,1,10,4,2,0,0,-0.5,7,0.023336,1
rafal,41,274,1,10,1,3,0,0,-0.5,11,0.035025,1
rafal,41,274,1,10,4,3,0,0,-0.5,8,0.035025,1
rafal,41,274,1,10,1,3,0,0,-0.5,12,0.034543,1
rafal,41,274,1,10,4,3,0,0,-0.5,9,0.034068,1
rafal,41,274,1,10,4,1,0,0,-0.5,6,0.018528,1
rafal,41,274,1,10,4,3,0,0,-0.5,10,0.033138,0
rafal,41,274,1,10,4,3,0,0,-0.5,11,0.034068,0
rafal,41,274,1,10,1,1,0,0,-0.5,7,0.009938,1
rafal,41,274,1,10,1,1,0,0,-0.5,8,0.009402,1
rafal,41,274,1,10,4,2,0,0,-0.5,8,0.02118,0
rafal,41,274,1,10,4,3,0,0,-0.5,12,0.035513,0
rafal,41,274,1,10,4,1,0,0,-0.5,7,0.01753,1
rafal,41,274,1,10,1,2,0,0,-0.5,5,0.006713,1
rafal,41,274,1,10,4,2,0,0,-0.5,9,0.023991,1
rafal,41,274,1,10,1,3,0,0,-0.5,13,0.034068,1
rafal,41,274,1,10,4,1,0,0,-0.5,8,0.016585,1
rafal,41,274,1,10,4,1,0,0,-0.5,9,0.015692,1
rafal,41,274,1,10,4,1,0,0,-0.5,10,0.014847,1
rafal,41,274,1,10,4,1,0,0,-0.5,11,0.014243,1
rafal,41,274,1,10,1,2,0,0,-0.5,6,0.006352,1
rafal,41,274,1,10,4,2,0,0,-0.5,10,0.023015,0
rafal,41,274,1,10,1,2,0,0,-0.5,7,0.005765,0
rafal,41,274,1,10,4,3,0,0,-0.5,13,0.038058,1
rafal,41,274,1,10,4,3,0,0,-0.5,14,0.037019,0
rafal,41,274,1,10,4,3,0,0,-0.5,15,0.039126,0
rafal,41,274,1,10,1,1,0,0,-0.5,9,0.008896,1
rafal,41,274,1,10,4,3,0,0,-0.5,16,0.043108,1
rafal,41,274,1,10,1,2,0,0,-0.5,8,0.00653,1
rafal,41,274,1,10,1,3,0,0,-0.5,14,0.033138,1
rafal,41,274,1,10,1,3,0,0,-0.5,15,0.031353,1
rafal,41,274,1,10,1,1,0,0,-0.5,10,0.008534,1
rafal,41,274,1,10,1,2,0,0,-0.5,9,0.006264,1
