Block_ID,Stimulus_Contrast,Stimulus_Size,Stimulus_Color,Stimulus_Persistence,Stimulus_Eccentricity,Center_point_size,Center_point_color,Repeat_ID,CFF
31,0.5,1,0.5,0.1,20,0.1,1.0,0,4.0
32,1.0,1,0.5,0.1,20,0.1,0.1,0,6.89999999999999
34,1.0,1,0.5,0.5,15,1.0,0.1,0,18.799999999999983
36,1.0,4,0.5,0.1,10,1.0,1.0,0,6.79999999999999
37,1.0,1,0.2,0.1,10,1.0,1.0,0,6.3999999999999915
38,1.0,1,0.5,0.1,5,1.0,0.1,0,6.299999999999992
39,1.0,4,0.2,0.1,20,0.1,1.0,0,11.099999999999975
40,1.0,4,0.2,0.1,10,1.0,1.0,0,6.3999999999999915
41,1.0,1,0.2,0.5,20,1.0,0.1,0,12.699999999999957
42,1.0,4,0.2,0.5,20,0.1,1.0,0,23.300000000000047
43,0.5,1,0.2,0.1,5,1.0,1.0,0,4.0
44,0.5,1,0.5,0.1,5,0.1,0.1,0,4.0
45,1.0,4,0.2,0.5,0,0.1,0.1,0,27.400000000000105
46,0.5,1,0.2,0.1,10,0.1,1.0,0,4.0
47,0.5,4,0.5,0.1,0,1.0,1.0,0,5.899999999999993
48,0.5,1,0.2,0.5,15,1.0,0.1,0,13.099999999999955
50,1.0,1,0.2,0.5,0,0.1,1.0,0,23.60000000000005
51,0.5,4,0.2,0.5,5,0.1,1.0,0,22.300000000000033
52,0.5,4,0.5,0.1,20,1.0,1.0,0,6.69999999999999
54,0.5,1,0.5,0.5,0,1.0,1.0,0,4.0
55,1.0,4,0.5,0.5,10,0.1,1.0,0,30.100000000000144
56,1.0,1,0.5,0.1,0,1.0,1.0,0,4.0
57,0.5,4,0.2,0.5,20,0.1,0.1,0,20.1
58,0.5,4,0.5,0.5,10,0.1,0.1,0,27.500000000000107
59,1.0,1,0.2,0.1,20,0.1,1.0,0,4.0
60,0.5,4,0.2,0.5,20,0.1,1.0,0,21.000000000000014
62,1.0,4,0.5,0.5,15,0.1,0.1,0,24.20000000000006
63,0.5,4,0.2,0.5,10,1.0,1.0,0,22.300000000000033
65,0.5,1,0.2,0.1,0,0.1,1.0,0,6.499999999999991
66,1.0,1,0.5,0.1,10,1.0,1.0,0,4.799999999999997
67,0.5,4,0.5,0.5,20,1.0,0.1,0,30.400000000000148
71,0.5,4,0.5,0.1,5,0.1,0.1,0,6.499999999999991
72,0.5,1,0.2,0.5,5,1.0,1.0,0,13.299999999999955
73,1.0,4,0.5,0.5,5,1.0,0.1,0,30.60000000000015
76,0.5,4,0.2,0.5,15,0.1,0.1,0,20.80000000000001
77,1.0,4,0.2,0.5,15,0.1,1.0,0,30.200000000000145
78,1.0,4,0.2,0.1,0,1.0,1.0,0,6.199999999999992
79,0.5,4,0.5,0.1,10,0.1,1.0,0,6.599999999999991
80,0.5,1,0.5,0.1,20,1.0,0.1,0,4.0
81,1.0,1,0.5,0.5,5,1.0,0.1,0,19.499999999999993
82,1.0,1,0.5,0.5,10,1.0,0.1,0,20.1
83,0.5,4,0.2,0.5,5,1.0,0.1,0,19.19999999999999
84,0.5,1,0.5,0.5,15,0.1,1.0,0,12.299999999999958
87,0.5,4,0.5,0.5,0,1.0,1.0,0,29.400000000000134
88,0.5,4,0.2,0.1,10,0.1,1.0,0,7.499999999999988
89,1.0,4,0.5,0.1,5,1.0,0.1,0,6.499999999999991
90,1.0,1,0.2,0.1,0,0.1,0.1,0,5.199999999999996
91,1.0,1,0.2,0.1,5,0.1,1.0,0,4.0
94,1.0,4,0.2,0.5,15,0.1,0.1,0,25.800000000000082
95,0.5,1,0.5,0.5,20,1.0,0.1,0,12.499999999999957
96,0.5,4,0.5,0.5,20,0.1,1.0,0,24.400000000000063
97,1.0,1,0.5,0.1,0,0.1,1.0,0,6.299999999999992
98,1.0,4,0.2,0.5,10,0.1,1.0,0,23.900000000000055
100,0.5,4,0.2,0.1,15,0.1,1.0,0,5.699999999999994
101,0.5,1,0.5,0.1,15,0.1,0.1,0,4.0
102,1.0,4,0.2,0.5,20,0.1,0.1,0,25.500000000000078
103,0.5,1,0.2,0.5,10,1.0,0.1,0,12.999999999999956
104,0.5,4,0.2,0.5,0,1.0,1.0,0,21.200000000000017
105,1.0,4,0.5,0.5,20,1.0,1.0,0,31.90000000000017
107,0.5,4,0.2,0.1,5,0.1,1.0,0,6.599999999999991
108,0.5,1,0.5,0.1,15,1.0,0.1,0,4.0
109,1.0,1,0.2,0.1,15,1.0,0.1,0,4.0
110,1.0,4,0.2,0.5,20,1.0,1.0,0,21.900000000000027
111,1.0,4,0.2,0.5,10,1.0,1.0,0,23.50000000000005
112,0.5,1,0.2,0.5,15,0.1,0.1,0,11.99999999999996
113,0.5,4,0.2,0.5,10,1.0,0.1,0,18.199999999999974
114,1.0,4,0.2,0.5,5,1.0,1.0,0,23.100000000000044
115,1.0,4,0.5,0.1,5,0.1,0.1,0,6.599999999999991
116,0.5,4,0.5,0.1,10,0.1,0.1,0,6.199999999999992
117,0.5,1,0.2,0.1,20,0.1,1.0,0,4.0
118,1.0,1,0.2,0.5,5,0.1,0.1,0,14.79999999999995
